timestamp;range_ok;range_mes;first_peak_pwr;rx_pwr;cir_layout;cir;max_noise;std_noise
1623423021325476715;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1534, 1491, 403];[-85707, -85944, -91760, -81582];[-80060, -82992, -85300, -79042];[];[];[438, 406, 362, 1043];[24, 24, 24, 44]
1623423021375255170;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[515, 1532, 1489, 404];[-85502, -85864, -92092, -81516];[-79968, -82801, -85598, -78944];[];[];[500, 409, 367, 1045];[28, 24, 24, 44]
1623423021426187440;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1535, 1493, 403];[-86087, -85851, -91932, -81180];[-80222, -82838, -85322, -78649];[];[];[411, 343, 360, 1041];[24, 20, 24, 44]
1623423021474728977;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[516, 1529, 1495, 402];[-86466, -85153, -91920, -81233];[-80151, -82546, -85378, -78785];[];[];[475, 431, 365, 1032];[28, 24, 24, 40]
1623423021525145500;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[511, 1533, 1493, 403];[-86339, -85609, -93436, -81624];[-80093, -82874, -85823, -79003];[];[];[477, 410, 308, 1090];[28, 24, 20, 44]
1623423021576107125;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1535, 1490, 403];[-86526, -85371, -93104, -81610];[-80188, -82635, -85481, -78847];[];[];[415, 427, 415, 1179];[24, 24, 28, 48]
1623423021624695049;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1533, 1493, 403];[-85642, -85565, -92573, -81933];[-79991, -82576, -84788, -79162];[];[];[570, 409, 413, 952];[32, 24, 28, 40]
1623423021675158481;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[511, 1534, 1492, 403];[-86087, -86042, -92480, -81255];[-79894, -83110, -85042, -78604];[];[];[503, 324, 418, 1037];[28, 20, 28, 40]
1623423021726475015;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[512, 1536, 1493, 401];[-85885, -85287, -93863, -81550];[-80067, -82609, -85755, -78795];[];[];[412, 406, 361, 1090];[24, 24, 24, 44]
1623423021774829950;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[510, 1535, 1493, 403];[-86818, -85107, -93669, -81251];[-80240, -82465, -85527, -78709];[];[];[418, 428, 419, 1135];[28, 24, 28, 44]
1623423021825782705;['SUCCESS', 'SUCCESS', 'SUCCESS', 'SUCCESS'];[514, 1536, 1492, 401];[-85627, -84974, -93647, -81453];[-80040, -82409, -85634, -78900];[];[];[501, 428, 361, 995];[28, 24, 24, 40]
