Id;X  [m];Y  [m];Z  [m];U(95)  [m];U(95) X  [m];U(95) Y  [m];U(95) Z  [m];Target;Temperature  [C];Pressure  [mBar];Humidity  [%];Time Stamp;Delete;
1;-1,853946;-1,695888;0,577730;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:41.348;;
2;-1,856977;-1,698666;0,578498;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:41.497;;
3;-1,860377;-1,699344;0,578453;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:41.644;;
4;-1,860373;-1,701183;0,579659;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:41.791;;
5;-1,863764;-1,724451;0,580926;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:42.204;;
6;-1,869743;-1,730883;0,580719;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:42.351;;
7;-1,864186;-1,766060;0,585297;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:42.911;;
8;-1,871267;-1,931974;0,587566;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:45.090;;
9;-1,867466;-1,946662;0,583044;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:45.678;;
10;-1,893963;-2,084361;0,584272;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:47.148;;
11;-1,897343;-2,097346;0,585666;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:47.295;;
12;-1,897796;-2,123321;0,586175;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:47.589;;
13;-1,898120;-2,134466;0,585456;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:47.736;;
14;-1,901907;-2,145426;0,584450;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:47.883;;
15;-1,913199;-2,164124;0,585254;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:48.148;;
16;-1,918716;-2,175426;0,586530;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:48.295;;
17;-1,924017;-2,186664;0,588732;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:48.442;;
18;-1,922652;-2,212580;0,593624;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:48.736;;
19;-1,921895;-2,223577;0,594668;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:48.882;;
20;-1,931670;-2,514159;0,580921;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:51.117;;
21;-1,928989;-2,539922;0,581061;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:51.411;;
22;-1,932747;-2,588061;0,578814;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:51.853;;
23;-1,911630;-2,750570;0,582919;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:53.001;;
24;-1,910105;-2,764777;0,580382;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:53.149;;
25;-1,902225;-2,833616;0,580276;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:53.589;;
26;-1,899049;-2,921362;0,583928;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:54.177;;
27;-1,892872;-2,947370;0,582774;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:54.325;;
28;-1,885965;-2,977059;0,580700;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:54.471;;
29;-1,872877;-3,121204;0,578392;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:55.207;;
30;-1,868679;-3,142221;0,577640;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:55.353;;
31;-1,875829;-3,200493;0,580802;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:55.767;;
32;-1,877753;-3,231917;0,586568;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:56.208;;
33;-1,869324;-3,280809;0,589550;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:56.797;;
34;-1,868799;-3,295924;0,589046;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:56.943;;
35;-1,871694;-3,314098;0,586888;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:57.091;;
36;-1,873997;-3,334774;0,584738;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:57.237;;
37;-1,877283;-3,452990;0,587171;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:57.972;;
38;-1,880318;-3,471984;0,589058;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:58.119;;
39;-1,878786;-3,491397;0,590776;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:58.266;;
40;-1,873799;-3,511360;0,592710;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:58.413;;
41;-1,871735;-3,556222;0,590722;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:58.854;;
42;-1,878431;-3,616468;0,588522;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:42:59.295;;
43;-1,910794;-3,733691;0,586682;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:00.030;;
44;-1,918627;-3,779819;0,590370;0,000000;0,000000;0,000000;0,000000;RRR 0.5in;24,4;986;58;'14.06.2021 16:43:00.297;;
